time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446450000	17.1867	5.2725	5.00212	0.826156	0.419402	radar	1.57793	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.344	5.45455	4.98745	0.848314	0.420827	lidar	0.175644	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5012	5.61693	4.92143	0.864397	0.418484	radar	2.97536	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6911	5.74183	4.87419	0.854982	0.384065	lidar	1.4718	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8368	5.93046	4.81881	0.883153	0.399581	radar	0.843195	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0088	6.12583	4.84964	0.89994	0.395894	lidar	0.826148	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1603	6.33022	4.87634	0.922575	0.398338	radar	0.794292	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2812	6.57294	4.9171	0.964693	0.423463	lidar	0.788339	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4146	6.783	4.90946	0.990865	0.430986	radar	0.267193	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5603	6.91997	4.82393	0.986569	0.401951	lidar	1.63377	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7106	7.12667	4.88637	0.997277	0.38581	radar	0.753265	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9057	7.26793	4.84585	0.976967	0.341372	lidar	3.77549	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9963	7.46268	4.73407	1.01279	0.371227	radar	3.77766	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0864	7.73309	4.80797	1.062	0.405648	lidar	1.57384	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2086	7.93801	4.81728	1.07643	0.397054	radar	0.268363	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2871	8.15711	4.80226	1.10887	0.411006	lidar	1.32726	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3871	8.36665	4.81772	1.12516	0.401357	radar	2.20645	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4812	8.51272	4.70169	1.12844	0.38265	lidar	3.37443	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5743	8.71696	4.66643	1.14948	0.387729	radar	0.482093	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7338	8.89521	4.65151	1.13705	0.352746	lidar	4.04927	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8099	9.11166	4.60959	1.16781	0.373459	radar	0.969807	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9378	9.34505	4.66521	1.17758	0.363913	lidar	3.21907	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9868	9.55912	4.57866	1.21808	0.399544	radar	2.54012	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0718	9.80631	4.63411	1.24249	0.404603	lidar	0.967962	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1333	10.0565	4.7008	1.26986	0.408033	radar	7.30659	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1799	10.3372	4.78314	1.30996	0.429684	lidar	1.11604	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1979	10.5687	4.72046	1.3555	0.466654	radar	2.98274	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2545	10.8494	4.80755	1.38523	0.473633	lidar	2.16682	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2829	11.1083	4.85132	1.41589	0.478642	radar	4.90503	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
